id,name,latitude,longitude,distance_km,duration_min,type,address
,"Sole Restaurant, Lee Point Road, Lee Point, City of Darwin, Northern Territory, 0811, Australia",-12.3409816,130.89313664529038,18.4462,21.205,restaurant,Lee Point Road
,"Fannie Bay Super Pizza Italian Restaurant, Ross Smith Avenue, Fannie Bay, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4240555,130.8365323,5.754,8.388333333333334,restaurant,Ross Smith Avenue
,"Asian Gateway Restaurant, 58, Aralia Street, Nightcliff, Darwin, City of Darwin, Northern Territory, 0810, Australia",-12.3795265,130.8489492,11.8261,15.495000000000001,restaurant,Aralia Street
,"Char Restaurant, Esplanade, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4649173,130.8400948,0.9831,2.0116666666666667,restaurant,Esplanade
,"Crab Claw Island Restaurant, Crab Claw Island Boat Ramp, Bynoe, Crab Claw Island, Northern Territory, Australia",-12.706074699999999,130.62239509276407,112.7469,134.64333333333335,restaurant,Crab Claw Island Boat Ramp
,"Yogis Way, Coronation Drive, Stuart Park, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.445271,130.8425692,3.0164,4.876666666666667,restaurant,Coronation Drive
,"Yots Greek Taverna, Marina Boulevard, Larrakeyah, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4509394,130.8223537,3.3544,6.5216666666666665,restaurant,Marina Boulevard
,"Il Lido, Anchorage Court, Darwin City, Darwin Waterfront Precinct Municipality, Northern Territory, 0801, Australia",-12.4687852,130.8471832,1.0902,3.0516666666666667,restaurant,Anchorage Court
,"Wharf Precinct Food Court, Stokes Hill Wharf, Darwin City, Darwin Waterfront Precinct Municipality, Northern Territory, 0801, Australia",-12.4707358,130.848332,1.8232000000000002,5.238333333333333,restaurant,Stokes Hill Wharf
,"Hot Tamale, Anchorage Court, Darwin City, Darwin Waterfront Precinct Municipality, Northern Territory, 0801, Australia",-12.46862,130.8467776,1.0366,2.93,restaurant,Anchorage Court
,"CHOW!, Kitchener Drive, Darwin City, Darwin Waterfront Precinct Municipality, Northern Territory, 0801, Australia",-12.4673061,130.8457022,1.0012999999999999,2.475,restaurant,Kitchener Drive
,"Flavour E Azam, Smith Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4629791,130.8413479,0.8548,1.8933333333333333,restaurant,Smith Street
,"Howard Springs Tavern, Whitewood Road, Howard Springs, Litchfield Municipality, Northern Territory, 0839, Australia",-12.4967032,131.043459,29.4175,31.45,restaurant,Whitewood Road
